size,threads,run,time_ms
1024,2,1,1557.999
1024,2,2,1528.153
1024,2,3,1419.962
1024,2,4,1419.37
1024,2,5,1403.461
1024,2,6,1434.214
1024,2,7,1406.394
1024,2,8,1625.237
1024,2,9,1437.933
1024,2,10,1620.117
1024,2,11,1646.53
1024,2,12,1670.118
1024,2,13,1368.791
1024,2,14,1394.198
1024,2,15,1481.575
1024,2,16,1392.153
1024,2,17,1428.856
1024,2,18,1599.098
1024,2,19,1439.763
1024,2,20,1580.777
1024,2,21,1525.722
1024,2,22,1485.367
1024,2,23,1399.937
1024,2,24,1559.161
1024,2,25,1445.296
1024,2,26,1420.306
1024,2,27,1390.244
1024,2,28,1373.976
1024,2,29,1446.438
1024,2,30,1428.086
1024,2,31,1398.126
1024,2,32,1478.046
1024,2,33,1402.177
1024,2,34,1486.134
1024,2,35,1416.829
1024,2,36,1468.435
1024,2,37,1577.312
1024,2,38,1521.307
1024,2,39,1430.422
1024,2,40,1425.508
# avg_ms=1473.3382
# std_ms=82.5691294545489
