size,threads,run,time_ms
256,8,1,12.364
256,8,2,12.452
256,8,3,12.371
256,8,4,12.389
256,8,5,12.358
256,8,6,12.334
256,8,7,12.342
256,8,8,12.355
256,8,9,12.44
256,8,10,12.393
256,8,11,12.352
256,8,12,12.347
256,8,13,12.37
256,8,14,12.337
256,8,15,12.359
256,8,16,12.35
256,8,17,12.33
256,8,18,12.363
256,8,19,12.355
256,8,20,12.334
256,8,21,12.425
256,8,22,12.338
256,8,23,12.446
256,8,24,12.331
256,8,25,13.058
256,8,26,12.369
256,8,27,12.399
256,8,28,12.362
256,8,29,12.41
256,8,30,12.372
256,8,31,12.364
256,8,32,12.381
256,8,33,12.364
256,8,34,12.334
256,8,35,12.339
256,8,36,12.337
256,8,37,12.317
256,8,38,12.397
256,8,39,12.456
256,8,40,12.335
# avg_ms=12.385725
# std_ms=0.11476173477789
