size,threads,run,time_ms
256,2,1,17.079
256,2,2,16.828
256,2,3,16.974
256,2,4,16.904
256,2,5,16.915
256,2,6,16.512
256,2,7,16.98
256,2,8,17.149
256,2,9,17.006
256,2,10,16.958
256,2,11,16.975
256,2,12,16.694
256,2,13,17.131
256,2,14,17.014
256,2,15,16.951
256,2,16,16.949
256,2,17,17
256,2,18,16.697
256,2,19,16.339
256,2,20,16.928
256,2,21,17.144
256,2,22,17.073
256,2,23,16.874
256,2,24,16.992
256,2,25,16.944
256,2,26,17.05
256,2,27,17.059
256,2,28,16.914
256,2,29,16.999
256,2,30,16.37
256,2,31,16.819
256,2,32,16.981
256,2,33,16.948
256,2,34,16.863
256,2,35,16.981
256,2,36,17.039
256,2,37,16.96
256,2,38,16.922
256,2,39,16.963
256,2,40,16.939
# avg_ms=16.920425
# std_ms=0.178124400133943
