size,threads,run,time_ms
128,1,1,1.781
128,1,2,1.795
128,1,3,1.769
128,1,4,1.764
128,1,5,1.808
128,1,6,1.782
128,1,7,1.778
128,1,8,1.793
128,1,9,1.825
128,1,10,1.885
128,1,11,1.767
128,1,12,1.79
128,1,13,1.831
128,1,14,1.784
128,1,15,1.858
128,1,16,1.79
128,1,17,1.851
128,1,18,1.794
128,1,19,1.874
128,1,20,1.87
128,1,21,1.784
128,1,22,1.754
128,1,23,1.782
128,1,24,1.77
128,1,25,1.776
128,1,26,1.759
128,1,27,1.776
128,1,28,1.804
128,1,29,1.766
128,1,30,1.76
128,1,31,1.778
128,1,32,1.754
128,1,33,1.778
128,1,34,1.771
128,1,35,1.801
128,1,36,1.768
128,1,37,1.747
128,1,38,1.759
128,1,39,1.758
128,1,40,2.503
# avg_ms=1.808425
# std_ms=0.117895191937802
