size,threads,run,time_ms
64,2,1,505
64,2,2,284
64,2,3,276
64,2,4,281
64,2,5,276
64,2,6,284
64,2,7,285
64,2,8,279
64,2,9,271
64,2,10,267
64,2,11,282
64,2,12,276
64,2,13,274
64,2,14,280
64,2,15,285
64,2,16,269
64,2,17,286
64,2,18,286
64,2,19,283
64,2,20,271
64,2,21,274
64,2,22,263
64,2,23,273
64,2,24,281
64,2,25,280
64,2,26,272
64,2,27,284
64,2,28,279
64,2,29,266
64,2,30,271
64,2,31,278
64,2,32,265
64,2,33,271
64,2,34,268
64,2,35,273
64,2,36,280
64,2,37,274
64,2,38,278
64,2,39,276
64,2,40,271
# avg_ms=281.925
# std_ms=36.7091042295141
