size,threads,run,time_ms
128,8,1,1.655
128,8,2,1.658
128,8,3,1.661
128,8,4,1.652
128,8,5,1.66
128,8,6,1.645
128,8,7,1.667
128,8,8,1.659
128,8,9,1.698
128,8,10,1.662
128,8,11,1.65
128,8,12,1.654
128,8,13,1.697
128,8,14,1.655
128,8,15,1.65
128,8,16,1.673
128,8,17,1.679
128,8,18,1.664
128,8,19,1.652
128,8,20,1.642
128,8,21,1.648
128,8,22,1.656
128,8,23,1.648
128,8,24,1.665
128,8,25,1.668
128,8,26,1.659
128,8,27,1.652
128,8,28,1.648
128,8,29,1.647
128,8,30,1.638
128,8,31,1.662
128,8,32,1.662
128,8,33,1.659
128,8,34,1.656
128,8,35,1.671
128,8,36,1.661
128,8,37,1.653
128,8,38,1.658
128,8,39,1.648
128,8,40,1.661
# avg_ms=1.658825
# std_ms=0.0123265140537765
