size,threads,run,time_ms
512,2,1,77.304
512,2,2,76.447
512,2,3,75.575
512,2,4,77.484
512,2,5,79.116
512,2,6,77.523
512,2,7,78.048
512,2,8,79.154
512,2,9,79.748
512,2,10,78.307
512,2,11,80.569
512,2,12,77.967
512,2,13,78.975
512,2,14,78.508
512,2,15,78.857
512,2,16,78.73
512,2,17,79.474
512,2,18,80.629
512,2,19,78.789
512,2,20,79.776
512,2,21,82.108
512,2,22,79.794
512,2,23,79.385
512,2,24,79.167
512,2,25,73.952
512,2,26,78.483
512,2,27,76.986
512,2,28,80.505
512,2,29,74.989
512,2,30,75.688
512,2,31,77.897
512,2,32,83.941
512,2,33,78.575
512,2,34,78.315
512,2,35,79.898
512,2,36,80.019
512,2,37,78.12
512,2,38,77.803
512,2,39,77.619
512,2,40,78.957
# avg_ms=78.579525
# std_ms=1.82392373585925
