size,threads,run,time_ms
1024,1,1,1297.5
1024,1,2,1619.326
1024,1,3,1328.819
1024,1,4,1745.343
1024,1,5,1302.252
1024,1,6,1302.053
1024,1,7,1302.04
1024,1,8,1303.053
1024,1,9,1302.864
1024,1,10,1302.767
1024,1,11,1303.342
1024,1,12,1632.299
1024,1,13,1301.347
1024,1,14,1313.827
1024,1,15,1321.32
1024,1,16,1323.377
1024,1,17,1303.35
1024,1,18,1303.249
1024,1,19,1322.114
1024,1,20,1313.035
1024,1,21,1302.25
1024,1,22,1646.439
1024,1,23,1689.886
1024,1,24,1301.694
1024,1,25,1337.692
1024,1,26,1299.509
1024,1,27,1630.577
1024,1,28,1596.122
1024,1,29,1317.126
1024,1,30,1381.322
1024,1,31,1324.583
1024,1,32,1306.328
1024,1,33,1301.583
1024,1,34,1304.664
1024,1,35,1787.547
1024,1,36,1330.057
1024,1,37,1318.951
