size,threads,run,time_ms
128,2,1,1.13
128,2,2,1.128
128,2,3,1.104
128,2,4,1.111
128,2,5,1.131
128,2,6,1.147
128,2,7,1.101
128,2,8,1.165
128,2,9,1.137
128,2,10,1.2
128,2,11,1.121
128,2,12,1.16
128,2,13,1.111
128,2,14,1.118
128,2,15,1.119
128,2,16,1.202
128,2,17,1.143
128,2,18,1.126
128,2,19,1.122
128,2,20,1.107
128,2,21,1.127
128,2,22,1.092
128,2,23,1.09
128,2,24,1.12
128,2,25,1.089
128,2,26,1.102
128,2,27,1.109
128,2,28,1.104
128,2,29,1.08
128,2,30,1.102
128,2,31,1.142
128,2,32,1.1
128,2,33,1.108
128,2,34,1.081
128,2,35,1.203
128,2,36,1.187
128,2,37,1.154
128,2,38,1.179
128,2,39,1.104
128,2,40,1.1
# avg_ms=1.1264
# std_ms=0.0330017870533998
