size,threads,run,time_ms
256,1,1,19.987
256,1,2,19.84
256,1,3,19.544
256,1,4,19.59
256,1,5,19.884
256,1,6,20.107
256,1,7,19.989
256,1,8,20.023
256,1,9,19.85
256,1,10,20.084
256,1,11,19.974
256,1,12,20.068
256,1,13,20.002
256,1,14,19.976
256,1,15,19.979
256,1,16,19.592
256,1,17,19.664
256,1,18,19.848
256,1,19,19.905
256,1,20,19.857
256,1,21,19.765
256,1,22,19.625
256,1,23,19.636
256,1,24,19.716
256,1,25,19.901
256,1,26,19.778
256,1,27,19.692
256,1,28,19.521
256,1,29,19.558
256,1,30,19.578
256,1,31,19.637
256,1,32,20.005
256,1,33,20.011
256,1,34,20.547
256,1,35,26.864
256,1,36,25.991
256,1,37,20.928
256,1,38,20.994
256,1,39,20.881
256,1,40,20.7
# avg_ms=20.277275
# std_ms=1.48011468695451
