size,threads,run,time_ms
512,4,1,98.888
512,4,2,99.645
512,4,3,99.668
512,4,4,98.412
512,4,5,99.101
512,4,6,99.482
512,4,7,98.163
512,4,8,98.968
512,4,9,99.073
512,4,10,100.893
512,4,11,99.281
512,4,12,99.287
512,4,13,98.549
512,4,14,99.011
512,4,15,101.903
512,4,16,98.611
512,4,17,100.075
512,4,18,98.373
512,4,19,98.777
512,4,20,98.587
512,4,21,98.785
512,4,22,98.906
512,4,23,99.252
512,4,24,99.297
512,4,25,98.61
512,4,26,99.601
512,4,27,99.354
512,4,28,99.303
512,4,29,101.618
512,4,30,98.028
512,4,31,99.437
512,4,32,98.508
512,4,33,99.941
512,4,34,99.612
512,4,35,98.778
512,4,36,97.74
512,4,37,99.745
512,4,38,99.935
512,4,39,98.478
512,4,40,99.283
# avg_ms=99.22395
# std_ms=0.851959971071231
