size,threads,run,time_ms
512,4,1,100.069
512,4,2,101.089
512,4,3,98.472
512,4,4,98.965
512,4,5,97.937
512,4,6,98.118
512,4,7,97.613
512,4,8,100.528
512,4,9,91.47
512,4,10,104.354
512,4,11,99.06
512,4,12,94.21
512,4,13,92.849
512,4,14,98.545
512,4,15,89.152
512,4,16,89.34
512,4,17,89.347
512,4,18,89.864
512,4,19,89.426
512,4,20,89.185
512,4,21,89.852
512,4,22,89.209
512,4,23,89.272
512,4,24,89.743
512,4,25,93.25
512,4,26,88.545
512,4,27,89.154
512,4,28,89.693
512,4,29,89.18
512,4,30,89.012
512,4,31,90.077
512,4,32,90.096
512,4,33,89.481
512,4,34,90.391
512,4,35,89.06
512,4,36,89.245
512,4,37,89.091
512,4,38,88.993
512,4,39,88.747
512,4,40,89.712
# avg_ms=92.5349
# std_ms=4.61508511908613
