size,threads,run,time_ms
512,1,1,156.667
512,1,2,159.664
512,1,3,156.891
512,1,4,156.706
512,1,5,156.816
512,1,6,156.558
512,1,7,156.587
512,1,8,155.724
512,1,9,155.487
512,1,10,155.557
512,1,11,155.624
512,1,12,158.018
512,1,13,155.987
512,1,14,156.779
512,1,15,155.555
512,1,16,155.682
512,1,17,155.85
512,1,18,156.005
512,1,19,156.533
512,1,20,156.414
512,1,21,158.494
512,1,22,156.659
512,1,23,156.758
512,1,24,156.089
512,1,25,155.892
512,1,26,155.892
512,1,27,155.905
512,1,28,155.734
512,1,29,155.823
512,1,30,156.716
512,1,31,159.921
512,1,32,156.093
512,1,33,155.883
512,1,34,155.786
512,1,35,155.593
512,1,36,155.426
512,1,37,155.909
512,1,38,156.418
512,1,39,156.178
512,1,40,202.61
# avg_ms=157.572075
# std_ms=7.37335596064885
