size,threads,run,time_ms
512,2,1,175.258
512,2,2,169.233
512,2,3,156.914
512,2,4,168.098
512,2,5,163.759
512,2,6,168.392
512,2,7,165.891
512,2,8,159.906
512,2,9,157.325
512,2,10,164.118
512,2,11,168.102
512,2,12,163.521
512,2,13,164.348
512,2,14,166.863
512,2,15,164.127
512,2,16,161.786
512,2,17,169.424
512,2,18,167.072
512,2,19,150.577
512,2,20,162.578
512,2,21,165.399
512,2,22,165.094
512,2,23,160.043
512,2,24,160.009
512,2,25,170.689
512,2,26,168.362
512,2,27,164.878
512,2,28,166.81
512,2,29,160.259
512,2,30,165.153
512,2,31,160.114
512,2,32,167.462
512,2,33,160.84
512,2,34,164.977
512,2,35,167.984
512,2,36,172.13
512,2,37,169.879
512,2,38,170.448
512,2,39,165.686
512,2,40,159.303
# avg_ms=164.820275
# std_ms=4.73221398278292
