size,threads,run,time_ms
512,2,1,160.27
512,2,2,166.571
512,2,3,161.781
512,2,4,198.212
512,2,5,159.387
512,2,6,163.041
512,2,7,162.134
512,2,8,172.038
512,2,9,157.472
512,2,10,173.681
512,2,11,168.146
512,2,12,162.259
512,2,13,175.331
512,2,14,177.058
512,2,15,161.353
512,2,16,176.087
512,2,17,162.108
512,2,18,159.955
512,2,19,174.003
512,2,20,171.198
512,2,21,158.832
512,2,22,163.503
512,2,23,168.837
512,2,24,175.861
512,2,25,154.244
512,2,26,162.476
512,2,27,165.333
512,2,28,163.928
512,2,29,168.009
512,2,30,162.761
512,2,31,155.761
512,2,32,168.246
512,2,33,162.59
512,2,34,166.109
512,2,35,182.602
512,2,36,151.062
512,2,37,158.862
512,2,38,175.853
512,2,39,168.239
512,2,40,164.696
# avg_ms=166.497225
# std_ms=8.64717665643325
