size,threads,run,time_ms
64,2,1,494
64,2,2,261
64,2,3,438
64,2,4,1.838
64,2,5,211
64,2,6,1.135
64,2,7,265
64,2,8,185
64,2,9,345
64,2,10,220
64,2,11,159
64,2,12,170
64,2,13,251
64,2,14,163
64,2,15,199
64,2,16,182
64,2,17,183
64,2,18,209
64,2,19,184
64,2,20,320
64,2,21,488
64,2,22,277
64,2,23,527
64,2,24,494
64,2,25,534
64,2,26,632
64,2,27,229
64,2,28,429
64,2,29,579
64,2,30,456
64,2,31,588
64,2,32,320
64,2,33,330
64,2,34,434
64,2,35,268
64,2,36,302
64,2,37,373
64,2,38,304
64,2,39,280
64,2,40,273
# avg_ms=313.974325
# std_ms=151.985795228705
