size,threads,run,time_ms
64,2,1,1.224
64,2,2,2.409
64,2,3,1.69
64,2,4,1.241
64,2,5,1.274
64,2,6,1.192
64,2,7,833
64,2,8,844
64,2,9,801
64,2,10,812
64,2,11,783
64,2,12,644
64,2,13,895
64,2,14,732
64,2,15,1.431
64,2,16,1.487
64,2,17,1.423
64,2,18,1.252
64,2,19,1.504
64,2,20,820
64,2,21,698
64,2,22,1.535
64,2,23,982
64,2,24,1.31
64,2,25,1.012
64,2,26,832
64,2,27,770
64,2,28,912
64,2,29,886
64,2,30,1.467
64,2,31,805
64,2,32,929
64,2,33,866
64,2,34,1.327
64,2,35,843
64,2,36,1.286
64,2,37,695
64,2,38,728
64,2,39,787
64,2,40,753
# avg_ms=466.8516
# std_ms=409.837768445703
