size,threads,run,time_ms
512,2,1,87.667
512,2,2,95.765
512,2,3,94.621
512,2,4,93.528
512,2,5,90.83
512,2,6,86.203
512,2,7,89.464
512,2,8,95.724
512,2,9,96.118
512,2,10,92.985
512,2,11,90.529
512,2,12,92.464
512,2,13,105.258
512,2,14,92.241
512,2,15,87.914
512,2,16,98.64
512,2,17,92.746
512,2,18,95.107
512,2,19,94.496
512,2,20,94.302
512,2,21,93.98
512,2,22,94.474
512,2,23,95.981
512,2,24,101.066
512,2,25,91.876
512,2,26,86.946
512,2,27,89.422
512,2,28,92.89
512,2,29,92.666
512,2,30,94.633
512,2,31,101.6
512,2,32,93.871
512,2,33,93.58
512,2,34,89.997
512,2,35,91.653
512,2,36,93.917
512,2,37,93.136
512,2,38,88.901
512,2,39,96.806
512,2,40,95.366
# avg_ms=93.484075
# std_ms=3.88202246646361
