size,threads,run,time_ms
512,4,1,105.174
512,4,2,89.613
512,4,3,84.586
512,4,4,89.397
512,4,5,83.789
512,4,6,88.179
512,4,7,87.296
512,4,8,88.67
512,4,9,86.067
512,4,10,87.841
512,4,11,87.563
512,4,12,96.482
512,4,13,90.9
512,4,14,87.499
512,4,15,88.623
512,4,16,91.795
512,4,17,87.288
512,4,18,96.289
512,4,19,90.21
512,4,20,90.341
512,4,21,91.623
512,4,22,89.453
512,4,23,89.605
512,4,24,87.338
512,4,25,88.349
512,4,26,88.654
512,4,27,87.37
512,4,28,90.458
512,4,29,90.497
512,4,30,92.749
512,4,31,86.937
512,4,32,95.413
512,4,33,95.242
512,4,34,90.972
512,4,35,85.378
512,4,36,86.851
512,4,37,87.056
512,4,38,89.228
512,4,39,86.339
512,4,40,84.775
# avg_ms=89.547225
# std_ms=3.94896422309147
