size,threads,run,time_ms
64,2,1,1.316
64,2,2,1.251
64,2,3,713
64,2,4,583
64,2,5,878
64,2,6,611
64,2,7,916
64,2,8,867
64,2,9,900
64,2,10,688
64,2,11,914
64,2,12,562
64,2,13,599
64,2,14,566
64,2,15,608
64,2,16,518
64,2,17,520
64,2,18,652
64,2,19,821
64,2,20,672
64,2,21,658
64,2,22,640
64,2,23,576
64,2,24,535
64,2,25,602
64,2,26,655
64,2,27,555
64,2,28,490
64,2,29,486
64,2,30,484
64,2,31,497
64,2,32,468
64,2,33,542
64,2,34,431
64,2,35,990
64,2,36,663
64,2,37,1.292
64,2,38,1.526
64,2,39,1.03
64,2,40,831
# avg_ms=567.435375
# std_ms=258.353621881952
