size,threads,run,time_ms
64,1,1,501
64,1,2,550
64,1,3,497
64,1,4,504
64,1,5,574
64,1,6,511
64,1,7,642
64,1,8,514
64,1,9,552
64,1,10,560
64,1,11,583
64,1,12,460
64,1,13,464
64,1,14,505
64,1,15,505
64,1,16,499
64,1,17,509
64,1,18,497
64,1,19,1.627
64,1,20,831
64,1,21,501
64,1,22,660
64,1,23,613
64,1,24,719
64,1,25,702
64,1,26,1.058
64,1,27,598
64,1,28,956
64,1,29,1.006
64,1,30,812
64,1,31,578
64,1,32,840
64,1,33,551
64,1,34,1.014
64,1,35,725
64,1,36,890
64,1,37,994
64,1,38,761
64,1,39,631
64,1,40,730
# avg_ms=563.092625
# std_ms=234.334553387934
