size,threads,run,time_ms
256,2,1,22.197
256,2,2,14.783
256,2,3,18.931
256,2,4,14.813
256,2,5,13.35
256,2,6,21.014
256,2,7,23.752
256,2,8,14.173
256,2,9,23.661
256,2,10,11.187
256,2,11,17.715
256,2,12,13.646
256,2,13,13.092
256,2,14,22.489
256,2,15,20.037
256,2,16,21.68
256,2,17,23.291
256,2,18,12.432
256,2,19,11.567
256,2,20,11.055
256,2,21,18.714
256,2,22,20.776
256,2,23,21.2
256,2,24,16.59
256,2,25,11.632
256,2,26,13.362
256,2,27,18.487
256,2,28,20.772
256,2,29,23.568
256,2,30,18.416
256,2,31,14.486
256,2,32,10.838
256,2,33,22.33
256,2,34,16.607
256,2,35,12.305
256,2,36,25.029
256,2,37,15.833
256,2,38,15.47
256,2,39,19.442
256,2,40,14.373
# avg_ms=17.377375
# std_ms=4.30882575286931
