size,threads,run,time_ms
512,1,1,770.742
512,1,2,825.135
512,1,3,897.69
512,1,4,836.778
512,1,5,833.815
512,1,6,772.025
512,1,7,798.636
512,1,8,792.227
512,1,9,740.571
512,1,10,737.366
512,1,11,746.567
512,1,12,761.26
512,1,13,878.798
512,1,14,737.235
512,1,15,740.339
512,1,16,743.708
512,1,17,774.738
512,1,18,732.235
512,1,19,748.408
512,1,20,756.692
512,1,21,760.521
512,1,22,756.402
512,1,23,812.545
512,1,24,775.611
512,1,25,778.05
512,1,26,733.126
512,1,27,783.76
512,1,28,768.972
512,1,29,760.929
512,1,30,725.534
512,1,31,850.799
512,1,32,777.181
512,1,33,758.453
512,1,34,758.987
512,1,35,796.593
512,1,36,808.355
512,1,37,794.513
512,1,38,738.099
512,1,39,748.894
512,1,40,748.893
# avg_ms=776.52955
# std_ms=40.4883221004558
