size,threads,run,time_ms
512,1,1,438.461
512,1,2,452.603
512,1,3,460.152
512,1,4,445.298
512,1,5,452.248
512,1,6,433.156
512,1,7,445.817
512,1,8,449.298
512,1,9,387.235
512,1,10,442.694
512,1,11,443.606
512,1,12,457.785
512,1,13,467.862
512,1,14,438.234
512,1,15,444.448
512,1,16,438.809
512,1,17,453.684
512,1,18,430.247
512,1,19,429.88
512,1,20,433.74
512,1,21,456.917
512,1,22,431.787
512,1,23,388.374
512,1,24,433.019
512,1,25,448.669
512,1,26,432.354
512,1,27,441.848
512,1,28,437.049
512,1,29,420.74
512,1,30,442.824
512,1,31,424.73
512,1,32,437.328
512,1,33,421.912
512,1,34,465.488
512,1,35,434.972
512,1,36,419.394
512,1,37,453.86
512,1,38,403.973
512,1,39,421.247
512,1,40,429.086
# avg_ms=437.2707
# std_ms=17.6722161934983
