size,threads,run,time_ms
64,4,1,424
64,4,2,414
64,4,3,230
64,4,4,3.349
64,4,5,3.242
64,4,6,1.397
64,4,7,162
64,4,8,168
64,4,9,256
64,4,10,171
64,4,11,872
64,4,12,205
64,4,13,215
64,4,14,191
64,4,15,371
64,4,16,628
64,4,17,467
64,4,18,308
64,4,19,382
64,4,20,330
64,4,21,229
64,4,22,307
64,4,23,256
64,4,24,1.964
64,4,25,192
64,4,26,177
64,4,27,448
64,4,28,197
64,4,29,1.497
64,4,30,191
64,4,31,203
64,4,32,253
64,4,33,248
64,4,34,403
64,4,35,244
64,4,36,233
64,4,37,223
64,4,38,1.185
64,4,39,220
64,4,40,203
# avg_ms=250.84085
# std_ms=172.472732839738
