size,threads,run,time_ms
256,4,1,23.601
256,4,2,16.885
256,4,3,19.394
256,4,4,18.93
256,4,5,21.496
256,4,6,22.255
256,4,7,27.149
256,4,8,22.652
256,4,9,24.152
256,4,10,16.066
256,4,11,23.383
256,4,12,31.745
256,4,13,22.669
256,4,14,23.775
256,4,15,18.288
256,4,16,15.313
256,4,17,20.67
256,4,18,24.469
256,4,19,29.446
256,4,20,26.293
256,4,21,25.103
256,4,22,16.916
256,4,23,14.528
256,4,24,14.901
256,4,25,23.994
256,4,26,19.491
256,4,27,16.166
256,4,28,16.528
256,4,29,14.443
256,4,30,14.674
256,4,31,14.765
256,4,32,13.811
256,4,33,21.31
256,4,34,23.149
256,4,35,14.38
256,4,36,14.367
256,4,37,20.91
256,4,38,25.188
256,4,39,16.004
256,4,40,15.976
# avg_ms=20.130875
# std_ms=4.69821646567432
