size,threads,run,time_ms
1024,8,1,677.601
1024,8,2,676.424
1024,8,3,656.152
1024,8,4,676.176
1024,8,5,662.486
1024,8,6,661.409
1024,8,7,683.432
1024,8,8,684.028
1024,8,9,674.531
1024,8,10,651.763
1024,8,11,657.959
1024,8,12,643.157
1024,8,13,681.188
1024,8,14,658.837
1024,8,15,690.469
1024,8,16,661.383
1024,8,17,650.236
1024,8,18,653.7
1024,8,19,675.471
1024,8,20,672.247
1024,8,21,675.598
1024,8,22,662.25
1024,8,23,701.271
1024,8,24,666.11
1024,8,25,667.885
1024,8,26,695.762
1024,8,27,664.778
1024,8,28,648.496
1024,8,29,658.874
1024,8,30,678.668
1024,8,31,669.666
1024,8,32,699.408
1024,8,33,684.302
1024,8,34,660.449
1024,8,35,648.436
1024,8,36,656.28
1024,8,37,693.827
1024,8,38,668.357
1024,8,39,682.95
1024,8,40,662.417
# avg_ms=669.860825
# std_ms=14.7972283664058
