size,threads,run,time_ms
128,8,1,1.239
128,8,2,2.21
128,8,3,2.562
128,8,4,2.303
128,8,5,2.33
128,8,6,1.912
128,8,7,1.88
128,8,8,1.348
128,8,9,1.246
128,8,10,1.109
128,8,11,2.257
128,8,12,1.613
128,8,13,1.689
128,8,14,1.733
128,8,15,1.929
128,8,16,1.319
128,8,17,1.511
128,8,18,1.306
128,8,19,1.275
128,8,20,1.336
128,8,21,2.663
128,8,22,1.339
128,8,23,2.2
128,8,24,2.452
128,8,25,2.138
128,8,26,1.581
128,8,27,1.818
128,8,28,1.433
128,8,29,2.331
128,8,30,2.604
128,8,31,1.864
128,8,32,1.87
128,8,33,1.869
128,8,34,1.177
128,8,35,1.365
128,8,36,1.26
128,8,37,2.238
128,8,38,3.165
128,8,39,2.66
128,8,40,3.14
# avg_ms=1.88185
# std_ms=0.552502908682447
