size,threads,run,time_ms
256,1,1,31.52
256,1,2,33.852
256,1,3,23.431
256,1,4,24.531
256,1,5,25.695
256,1,6,32.007
256,1,7,24.407
256,1,8,28.377
256,1,9,31.545
256,1,10,22.049
256,1,11,31.309
256,1,12,24.319
256,1,13,31.87
256,1,14,25.662
256,1,15,40.624
256,1,16,24.756
256,1,17,24.224
256,1,18,22.951
256,1,19,25.816
256,1,20,32.618
256,1,21,30.151
256,1,22,32.765
256,1,23,30.518
256,1,24,29.681
256,1,25,32.382
256,1,26,28.111
256,1,27,32.416
256,1,28,21.459
256,1,29,27.836
256,1,30,44.409
256,1,31,33.185
256,1,32,32.487
256,1,33,24.658
256,1,34,22.461
256,1,35,31.256
256,1,36,25.819
256,1,37,30.383
256,1,38,21.906
256,1,39,30.323
256,1,40,24.944
# avg_ms=28.717825
# std_ms=4.98991671934769
