size,threads,run,time_ms
512,4,1,96.224
512,4,2,89.332
512,4,3,86.534
512,4,4,89.881
512,4,5,87.489
512,4,6,89.01
512,4,7,84.849
512,4,8,83.415
512,4,9,83.402
512,4,10,84.405
512,4,11,85.865
512,4,12,85.892
512,4,13,86.014
512,4,14,90.86
512,4,15,89.398
512,4,16,87.611
512,4,17,86.829
512,4,18,87.464
512,4,19,82.002
512,4,20,90.986
512,4,21,85.085
512,4,22,84.266
512,4,23,88.97
512,4,24,83.622
512,4,25,87.401
512,4,26,95.796
512,4,27,90.582
512,4,28,88.438
512,4,29,87.445
512,4,30,83.874
512,4,31,85.99
512,4,32,85.05
512,4,33,90.618
512,4,34,88.013
512,4,35,87.253
512,4,36,88.105
512,4,37,85.216
512,4,38,90.093
512,4,39,82.398
512,4,40,82.507
# avg_ms=87.2046
# std_ms=3.23283010728434
