size,threads,run,time_ms
128,2,1,3
128,2,2,3.983
128,2,3,2.513
128,2,4,2.329
128,2,5,1.259
128,2,6,1.344
128,2,7,1.353
128,2,8,1.382
128,2,9,1.644
128,2,10,1.66
128,2,11,1.768
128,2,12,1.676
128,2,13,3.821
128,2,14,3.773
128,2,15,1.827
128,2,16,1.567
128,2,17,1.617
128,2,18,2.429
128,2,19,1.724
128,2,20,1.56
128,2,21,1.525
128,2,22,1.472
128,2,23,1.81
128,2,24,2.159
128,2,25,2.75
128,2,26,1.948
128,2,27,2.464
128,2,28,1.876
128,2,29,2.377
128,2,30,2.032
128,2,31,1.6
128,2,32,1.59
128,2,33,1.349
128,2,34,2.41
128,2,35,2.942
128,2,36,1.639
128,2,37,2.177
128,2,38,2.125
128,2,39,1.817
128,2,40,1.891
# avg_ms=2.05455
# std_ms=0.682718545830207
