size,threads,run,time_ms
256,1,1,54.9
256,1,2,65.882
256,1,3,68.336
256,1,4,75.542
256,1,5,101.378
256,1,6,58.972
256,1,7,98.39
256,1,8,64.737
256,1,9,61.909
256,1,10,69.433
256,1,11,63.909
256,1,12,64.029
256,1,13,64.506
256,1,14,66.871
256,1,15,73.06
256,1,16,64.463
256,1,17,67.561
256,1,18,68.33
256,1,19,53.282
256,1,20,66.384
256,1,21,56.797
256,1,22,66.407
256,1,23,63.305
256,1,24,53.987
256,1,25,59.9
256,1,26,57.419
256,1,27,64.142
256,1,28,54.345
256,1,29,54.162
256,1,30,65.324
256,1,31,82.998
256,1,32,75.703
256,1,33,80.319
256,1,34,68.236
256,1,35,54.623
256,1,36,64.44
256,1,37,62.914
256,1,38,68.438
256,1,39,65.212
256,1,40,55.001
# avg_ms=66.13865
# std_ms=10.5266649369528
