size,threads,run,time_ms
64,4,1,618
64,4,2,1.062
64,4,3,508
64,4,4,666
64,4,5,772
64,4,6,1.844
64,4,7,1.002
64,4,8,812
64,4,9,747
64,4,10,654
64,4,11,1.346
64,4,12,668
64,4,13,741
64,4,14,1.015
64,4,15,1.137
64,4,16,849
64,4,17,590
64,4,18,524
64,4,19,519
64,4,20,572
64,4,21,547
64,4,22,458
64,4,23,491
64,4,24,871
64,4,25,1.177
64,4,26,861
64,4,27,1.086
64,4,28,1.049
64,4,29,728
64,4,30,824
64,4,31,1
64,4,32,1.037
64,4,33,1.025
64,4,34,1.133
64,4,35,785
64,4,36,811
64,4,37,890
64,4,38,763
64,4,39,710
64,4,40,691
# avg_ms=467.122825
# std_ms=344.203442981923
