size,threads,run,time_ms
128,4,1,6.219
128,4,2,6.159
128,4,3,6.735
128,4,4,3.9
128,4,5,3.264
128,4,6,6.011
128,4,7,5.563
128,4,8,2.549
128,4,9,2.542
128,4,10,2.196
128,4,11,2.111
128,4,12,3.391
128,4,13,4.113
128,4,14,5.165
128,4,15,2.841
128,4,16,2.797
128,4,17,3.116
128,4,18,3.291
128,4,19,5.586
128,4,20,5.924
128,4,21,4.997
128,4,22,4.13
128,4,23,2.438
128,4,24,5.642
128,4,25,5.082
128,4,26,3.432
128,4,27,2.835
128,4,28,5.255
128,4,29,6.586
128,4,30,4.496
128,4,31,3.749
128,4,32,5.792
128,4,33,5.544
128,4,34,2.529
128,4,35,2.599
128,4,36,1.988
128,4,37,2.008
128,4,38,2.145
128,4,39,1.9
128,4,40,1.942
# avg_ms=3.96405
# std_ms=1.55689121451891
