size,threads,run,time_ms
64,8,1,600
64,8,2,611
64,8,3,476
64,8,4,1.057
64,8,5,1.145
64,8,6,414
64,8,7,501
64,8,8,441
64,8,9,462
64,8,10,384
64,8,11,393
64,8,12,475
64,8,13,779
64,8,14,531
64,8,15,1.202
64,8,16,692
64,8,17,1.067
64,8,18,505
64,8,19,455
64,8,20,485
64,8,21,408
64,8,22,767
64,8,23,391
64,8,24,395
64,8,25,404
64,8,26,394
64,8,27,440
64,8,28,657
64,8,29,441
64,8,30,463
64,8,31,384
64,8,32,422
64,8,33,594
64,8,34,569
64,8,35,964
64,8,36,618
64,8,37,420
64,8,38,401
64,8,39,593
64,8,40,546
# avg_ms=461.986775
# std_ms=200.125396623254
