size,threads,run,time_ms
128,1,1,10.777
128,1,2,11.867
128,1,3,8.016
128,1,4,6.91
128,1,5,15.68
128,1,6,10.259
128,1,7,7.064
128,1,8,7.038
128,1,9,14.995
128,1,10,7.06
128,1,11,8.493
128,1,12,15.277
128,1,13,7.702
128,1,14,11.456
128,1,15,8.893
128,1,16,7.749
128,1,17,12.009
128,1,18,9.359
128,1,19,6.926
128,1,20,7.261
128,1,21,9.913
128,1,22,13.021
128,1,23,7.058
128,1,24,9.724
128,1,25,16.618
128,1,26,16.625
128,1,27,18.18
128,1,28,7.951
128,1,29,7.129
128,1,30,6.927
128,1,31,6.975
128,1,32,7.617
128,1,33,7.272
128,1,34,15.754
128,1,35,17.227
128,1,36,7.969
128,1,37,7.188
128,1,38,15.866
128,1,39,7.27
128,1,40,6.753
# avg_ms=10.1957
# std_ms=3.68978628524326
