size,threads,run,time_ms
256,4,1,14.685
256,4,2,14.205
256,4,3,6.625
256,4,4,5.997
256,4,5,13.632
256,4,6,12.971
256,4,7,10.836
256,4,8,12.195
256,4,9,12.317
256,4,10,6.593
256,4,11,5.349
256,4,12,11.72
256,4,13,7.702
256,4,14,5.34
256,4,15,5.475
256,4,16,5.248
256,4,17,5.201
256,4,18,5.713
256,4,19,5.228
256,4,20,5.242
256,4,21,14.765
256,4,22,6.289
256,4,23,14.731
256,4,24,6.374
256,4,25,5.54
256,4,26,6.013
256,4,27,6.103
256,4,28,6.087
256,4,29,6.085
256,4,30,5.971
256,4,31,14.065
256,4,32,7.802
256,4,33,5.725
256,4,34,13.744
256,4,35,16.169
256,4,36,8.652
256,4,37,8.587
256,4,38,14.192
256,4,39,5.4
256,4,40,5.807
# avg_ms=8.759375
# std_ms=3.76604321153566
