size,threads,run,time_ms
128,1,1,2.822
128,1,2,8.919
128,1,3,5.035
128,1,4,3.58
128,1,5,2.655
128,1,6,2.874
128,1,7,3.609
128,1,8,2.635
128,1,9,2.81
128,1,10,4.754
128,1,11,2.636
128,1,12,3.039
128,1,13,7.913
128,1,14,3.952
128,1,15,8.945
128,1,16,3.734
128,1,17,7.109
128,1,18,3.381
128,1,19,3.47
128,1,20,6.691
128,1,21,7.35
128,1,22,5.521
128,1,23,3.704
128,1,24,4.851
128,1,25,8.776
128,1,26,5.573
128,1,27,3.602
128,1,28,6.548
128,1,29,7.589
128,1,30,4.813
128,1,31,7.824
128,1,32,5.139
128,1,33,8.747
128,1,34,6.665
128,1,35,3.851
128,1,36,8.539
128,1,37,4.194
128,1,38,2.72
128,1,39,2.763
128,1,40,8.449
# avg_ms=5.194525
# std_ms=2.18405003684933
