size,threads,run,time_ms
64,1,1,225
64,1,2,237
64,1,3,410
64,1,4,296
64,1,5,253
64,1,6,227
64,1,7,285
64,1,8,294
64,1,9,228
64,1,10,243
64,1,11,213
64,1,12,208
64,1,13,222
64,1,14,213
64,1,15,367
64,1,16,1.01
64,1,17,500
64,1,18,527
64,1,19,467
64,1,20,331
64,1,21,213
64,1,22,295
64,1,23,247
64,1,24,665
64,1,25,267
64,1,26,215
64,1,27,731
64,1,28,502
64,1,29,297
64,1,30,683
64,1,31,541
64,1,32,271
64,1,33,535
64,1,34,220
64,1,35,442
64,1,36,1.005
64,1,37,230
64,1,38,206
64,1,39,298
64,1,40,227
# avg_ms=320.825375
# std_ms=163.214989599558
