size,threads,run,time_ms
512,8,1,191.014
512,8,2,184.699
512,8,3,190.958
512,8,4,183.378
512,8,5,190.846
512,8,6,189.858
512,8,7,184.983
512,8,8,186.127
512,8,9,182.137
512,8,10,183.456
512,8,11,185.225
512,8,12,183.732
512,8,13,185.99
512,8,14,185.133
512,8,15,195.993
512,8,16,189.887
512,8,17,188.111
512,8,18,193.997
512,8,19,188.4
512,8,20,189.469
512,8,21,192.692
512,8,22,194.18
512,8,23,185.5
512,8,24,189.822
512,8,25,189.796
512,8,26,189.67
512,8,27,195.698
512,8,28,212.459
512,8,29,193.836
512,8,30,197.168
512,8,31,198.28
512,8,32,189.938
512,8,33,185.152
512,8,34,196.056
512,8,35,192.714
512,8,36,195.581
512,8,37,191.605
512,8,38,189.002
512,8,39,189.65
512,8,40,190.755
# avg_ms=190.323675
# std_ms=5.53560512240115
