size,threads,run,time_ms
64,8,1,784
64,8,2,978
64,8,3,634
64,8,4,674
64,8,5,738
64,8,6,1.943
64,8,7,735
64,8,8,534
64,8,9,803
64,8,10,1.04
64,8,11,850
64,8,12,785
64,8,13,716
64,8,14,1.047
64,8,15,825
64,8,16,818
64,8,17,696
64,8,18,1.037
64,8,19,1.048
64,8,20,873
64,8,21,704
64,8,22,677
64,8,23,604
64,8,24,578
64,8,25,703
64,8,26,759
64,8,27,1.242
64,8,28,1.125
64,8,29,1.217
64,8,30,964
64,8,31,1.29
64,8,32,816
64,8,33,1.103
64,8,34,1.192
64,8,35,763
64,8,36,2.021
64,8,37,1.217
64,8,38,1.289
64,8,39,887
64,8,40,942
# avg_ms=496.445275
# std_ms=379.141320714084
