size,threads,run,time_ms
64,1,1,3.443
64,1,2,1.132
64,1,3,1.107
64,1,4,3.129
64,1,5,3.021
64,1,6,3.372
64,1,7,1.227
64,1,8,1.289
64,1,9,4.255
64,1,10,1.537
64,1,11,3.379
64,1,12,2.014
64,1,13,2.273
64,1,14,1.537
64,1,15,1.924
64,1,16,1.896
64,1,17,3.216
64,1,18,2.684
64,1,19,2.149
64,1,20,1.746
64,1,21,1.605
64,1,22,1.662
64,1,23,1.047
64,1,24,1.644
64,1,25,1.215
64,1,26,1.621
64,1,27,1.032
64,1,28,2.865
64,1,29,1.92
64,1,30,2.633
64,1,31,1.63
64,1,32,1.626
64,1,33,1.729
64,1,34,3.469
64,1,35,3.574
64,1,36,3.384
64,1,37,2.702
64,1,38,2.526
64,1,39,3.254
64,1,40,1.957
# avg_ms=2.235625
# std_ms=0.872032629579468
