size,threads,run,time_ms
64,1,1,511
64,1,2,309
64,1,3,320
64,1,4,319
64,1,5,250
64,1,6,338
64,1,7,235
64,1,8,224
64,1,9,251
64,1,10,670
64,1,11,267
64,1,12,284
64,1,13,252
64,1,14,334
64,1,15,278
64,1,16,730
64,1,17,223
64,1,18,296
64,1,19,629
64,1,20,452
64,1,21,310
64,1,22,224
64,1,23,436
64,1,24,269
64,1,25,303
64,1,26,234
64,1,27,229
64,1,28,225
64,1,29,227
64,1,30,227
64,1,31,226
64,1,32,238
64,1,33,227
64,1,34,731
64,1,35,733
64,1,36,224
64,1,37,226
64,1,38,237
64,1,39,252
64,1,40,297
# avg_ms=331.175
# std_ms=155.552594370472
